"Date";"Vol_Steir_m3_Mois";"Vol_Prelevable_Steir_m3_Mois_DOE";"DOE";"Volume_Disponible_DOE";"Volume_Soutien_DOE"
"2011-01-01";12594960;11577168;0.38;11577168;0
"2011-02-01";13866940.8;12947644.8;0.38;12947644.8;0
"2011-03-01";9022104;8004312;0.38;8004312;0
"2011-04-01";3629404.8;2644444.8;0.38;2644444.8;0
"2011-05-01";2310275.52;1292483.52;0.38;1292483.52;0
"2011-06-01";1538200.8;553240.8;0.38;553240.8;0
"2011-07-01";1199789.28;181997.28;0.38;181997.28;0
"2011-08-01";1139495.04;121703.04;0.38;121703.04;0
"2011-09-01";776187.36;-208772.64;0.38;0;-208772.64
"2011-10-01";1138173.12;120381.12;0.38;120381.12;0
"2011-11-01";1409019.84;424059.84;0.38;424059.84;0
"2011-12-01";16447622.4;15429830.4;0.38;15429830.4;0
